STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,log_total_exp,log_federal_rev,log_state_rev,log_local_rev,log_instruction_exp,log_support_services_exp,log_other_exp,log_capital_outlay_exp
New Hampshire,1993,177722,1109743,34680,84342,990721,1091814,611158,322618,34802,42172,13.9033510911089,10.4539184308945,11.3426352405598,13.8061882398698,13.3231107971958,12.6842242397689,10.4574301353755,10.6495117726968
New Jersey,1993,653488,6747567,331924,3104597,3311046,6641624,3676378,2092298,203775,342746,15.7088670698615,12.7126613060308,14.948394474266,15.0127747095165,15.1174385863333,14.553773541441,12.2247717229627,12.7447449270428
New Mexico,1993,281407,1217194,154018,897725,165451,1223185,587753,427793,62453,128202,14.0169686706049,11.9448247576823,13.7076190643043,12.0164303574536,13.2840620706003,12.9663947127102,11.0421695528307,11.761362423971
New York,1993,2663637,22688753,1276362,8848470,12563921,23934282,14029639,6425626,935895,1625848,16.9908223824478,14.0595244017115,15.9957551206825,16.3463398518145,16.4566827211703,15.675804615906,13.74925856968,14.3015400837855
North Carolina,1993,1112636,5583166,433602,3388466,1761098,5475174,3037814,1525471,345822,480317,15.5157346139838,12.9798823416431,15.0358878695696,14.3814480361287,14.9266487357738,14.2378137727976,12.7536794707976,13.0822015815716
North Dakota,1993,118793,580148,56254,243783,280111,588983,310940,156042,44647,41585,13.2861525997384,10.9376324286495,12.4040337643118,12.5429412321658,12.6473552465037,11.9578804807648,10.7065423947976,10.6354948043028
Ohio,1993,1834239,10841606,509488,4156070,6176048,10385253,5522474,3653046,451400,588386,16.1558973770563,13.1411615788651,15.2400804741778,15.6361891426773,15.5243365062527,15.111071898088,13.0201091433656,13.2851384740885
Oklahoma,1993,312817,1436505,99809,802783,533913,1428916,726475,457062,113582,113949,14.172426672819,11.5110136385943,13.5958397197957,13.1879881833209,13.4959593498381,13.0325743280704,11.6402803220103,11.6435062588565
Oregon,1993,509814,3141217,196584,1180698,1763935,3149126,1712282,1053438,98785,209804,14.9626355119851,12.1888450998635,13.9816163469834,14.3830576667974,14.3533375417452,13.867569659047,11.5007010503475,12.2539290405395
Pennsylvania,1993,1719829,12269422,695807,4781408,6792207,12809067,6856146,3622113,684867,966827,16.3656638374968,13.4528276020115,15.3802456217626,15.7312864835407,15.7406560342489,15.1025681151719,13.4369799378088,13.781774854604
Rhode Island,1993,138939,919594,46215,351512,521867,901540,588044,268106,11541,12708,13.7118596911348,10.7410596996989,12.7699991290527,13.1651680451284,13.2845570540131,12.4991377036827,9.35366119142041,9.44998699538941
South Carolina,1993,631613,3031112,277419,1419961,1333732,2994038,1592384,820795,269661,221824,14.9121335359319,12.533284277668,14.1661399644115,14.1034915857245,14.2807428223311,13.6180286617622,12.5049208935547,12.3096395536352
South Dakota,1993,107050,465650,52787,120851,292012,481665,265549,139963,22308,43632,13.085004130647,10.874020227258,11.7023136608181,12.5845501762964,12.4895546600743,11.8491333809475,10.0127006375094,10.6835461050854
Tennessee,1993,844668,3268642,334410,1535027,1399205,3286481,1969619,781510,209586,248037,15.0053279454428,12.7201230640518,14.2440585284253,14.1514147761507,14.4933506809946,13.5689832246671,12.2528894353051,12.4213332075673
Texas,1993,3535333,20267205,1233446,9919561,9114198,18574871,8914245,5150373,971683,2989512,16.7373202037257,14.0253224361254,16.1100192242496,16.0253439753889,16.0031611169662,15.4545796972017,13.7867848985628,14.9106207213442
Utah,1993,462323,1638305,116791,928596,592918,1665011,881924,410867,128758,207312,14.3253422879815,11.6681412916129,13.7414290469989,13.2928113884858,13.6898611634758,12.926024840135,11.765689952518,12.2419801838686
Vermont,1993,97454,837540,34179,216778,586583,809853,405876,193543,22698,15655,13.6046080286974,10.4393666993662,12.2866290673838,13.2820694545396,12.9138029732149,12.1732549889865,10.0300320938611,9.65854563376051
Virginia,1993,1032842,5918536,365601,2358711,3194224,5955333,3121277,1837782,303062,488487,15.5997976786036,12.8092978537882,14.673625841347,14.9768547367946,14.9537527709192,14.4240699676817,12.6216926840216,13.0990681380331
Washington,1993,896197,5270961,284396,3720223,1266342,5791436,2778268,1626508,235224,942214,15.5718908326158,12.5581229121147,15.1292941706892,14.0516429873845,14.8373382699255,14.3019459434202,12.3682935306171,13.7559877039787
West Virginia,1993,317719,1832154,140913,1220263,470978,1829848,1023497,500010,116349,171484,14.4197434612586,11.8558979576477,14.0145769672472,13.0625666627781,13.8387357529605,13.1223833772043,11.6643495739363,12.0522452467753
Wisconsin,1993,829085,5357945,226234,2205644,2926067,5640718,3111910,1629643,193368,500029,15.5455219203362,12.3293251408295,14.6065300877129,14.8891697584545,14.9507472435537,14.30387153039,12.1723503881251,13.1224213757224
Wyoming,1993,100313,615130,35437,308683,271010,614807,334071,193624,21047,48076,13.3290636763983,10.4755117510231,12.640070139327,12.50991099955,12.7191088242183,12.1736734130835,9.95451331113917,10.7805383710727
Alabama,1994,730004,2970223,331823,1850894,787506,3103266,1697593,826442,306977,231508,14.9479656632499,12.7123569732028,14.4311793235733,13.5766262687005,14.3447219233649,13.6248850183422,12.634528105196,12.3523697091468
Alaska,1994,123868,1052282,134168,668229,249885,1116160,516242,446458,36589,98486,13.9254047808226,11.8068480250115,13.4123862081426,12.4287560910119,13.1543309267693,13.0091006099247,10.5075029277682,11.4976696850788
Arizona,1994,708482,3566586,348847,1478372,1739367,3803379,1652311,1054136,183778,696618,15.1514004401095,12.7623887096457,14.2064520402963,14.3690318118985,14.3176854720036,13.8682320320176,12.1214837864187,13.4539924763735
Arkansas,1994,312695,1393287,132108,810396,450783,1445984,816270,403608,75434,105349,14.1843006166327,11.7913750488584,13.6052782960703,13.0187413497002,13.6125004615697,12.9081993888707,11.2310133807404,11.5650339270183
California,1994,4120498,23440845,2095878,13175550,8169417,23012688,12443864,6754346,1615630,1916061,16.9515562739632,14.5554831166222,16.3938733972509,15.9159081056609,16.3367382079782,15.7256967075169,14.2952355314517,14.4657820741669
Colorado,1994,549570,3061865,165539,1269532,1626794,3113755,1574164,977343,95796,328219,14.9513399513381,12.0169620955851,14.0541588865835,14.3021217647861,14.2692348956703,13.7925929441311,11.4699762094338,12.701436347492
Connecticut,1994,479522,4268860,142392,1537064,2589404,4132350,2431273,1221662,150749,53083,15.2343568103779,11.8663390966066,14.2453846612114,14.7669382913649,14.7039255464584,14.0157227847093,11.9233714810683,10.8796120053117
Delaware,1994,103782,705798,50572,447430,207796,732323,413915,217782,30320,50805,13.5039769524489,10.8311533424318,13.0112753798804,12.2443121081838,12.933415917718,12.2912498414376,10.3195628397563,10.83575005392
District of Columbia,1994,80678,735720,79432,0,656288,769818,351028,332951,63271,22568,13.5539094022552,11.2826565887134,-Inf,13.3943549959735,12.7686212713462,12.7157506109882,11.055182367295,10.0242882526818
Florida,1994,2039884,12315950,890498,6158417,5267035,12469073,5715125,3849613,898855,1769738,16.3387619764808,13.6995361357801,15.6333303219651,15.4769781435925,15.5586267272378,15.163483181731,13.7088770101225,14.3863420709947
Georgia,1994,1235304,6824191,449430,3473578,2901183,6597359,3509251,1862815,405376,723316,15.7021799753995,13.0157353921795,15.0606957445992,14.8806291428099,15.0709131823577,14.4375993424522,12.9125703104583,13.4916014734278
Hawaii,1994,181212,1133949,77993,1025813,30143,1146267,615270,322736,93482,114779,13.9520211334134,11.2643743580548,13.8409960268927,10.3137080027282,13.3298164748359,12.6845899305411,11.4455241833747,11.6507638193052
Idaho,1994,236774,949999,77626,576106,296267,974781,538783,273654,44562,99924,13.7899681093656,11.2596577016005,13.2640469505248,12.5990163537513,13.1970681714244,12.519619813677,10.7046367568974,11.5121651760238
Illinois,1994,1875956,11309803,628532,3697747,6983524,10743708,5727974,3468903,446271,508619,16.1898308388561,13.351142220593,15.1232342732291,15.7590642183942,15.5608724485062,15.0593489636123,13.0086816697923,13.1394544887242
Indiana,1994,963071,6121754,286351,2754602,3080801,6061435,3003825,1743788,273493,551285,15.617457128693,12.5649736100457,14.8287835255233,14.9407001860738,14.9153970345101,14.3715703164291,12.5190313063667,13.2200071957912
Iowa,1994,497925,2987394,139312,1339912,1508170,2974072,1551221,858078,120252,195410,14.9054426155276,11.8444713010684,14.1081144981288,14.2264075532917,14.2545529207251,13.662450283429,11.6973448198463,12.182855194354
Kansas,1994,457744,2700587,134686,1540727,1025174,2643192,1371720,856673,156331,172340,14.7874978356698,11.8107014223272,14.2477649409182,13.8403729122453,14.1315759848078,13.6608115611721,11.9597308332758,12.0572245487938
Kentucky,1994,490069,2491948,238630,1561340,691978,2392549,1310208,761029,145930,126669,14.6878698827683,12.3826695141873,14.2610549848773,13.4473094421869,14.0856964611993,13.5424267438707,11.8908823336618,11.7493326639174
Louisiana,1994,798312,3571864,437307,1914388,1220169,3539581,1952186,1033282,270613,197625,15.0795189165228,12.9883907445905,14.4649085472742,14.014499931706,14.4844603283009,13.8482507021339,12.5084450349544,12.1941265745118
Maine,1994,211731,1357116,77393,609841,669882,1338353,799103,325201,72234,73376,14.1069503114811,11.2566516162115,13.3209535464352,13.4148568564533,13.591245127579,12.6921987316818,11.1876661281631,11.2033521856576
Maryland,1994,772638,5141505,258611,2002382,2880512,5187683,2812922,1673254,254041,387699,15.4617977200073,12.4630802811515,14.5098480298464,14.8734786140893,14.8497343586837,14.3302807915173,12.4452509502971,12.8679845443418
Massachusetts,1994,877384,6410757,312111,2119446,3979200,6391131,3536321,1914124,189810,282757,15.6704218059971,12.6511141727515,14.5666652917433,15.1965913520313,15.0785974791624,14.4647706346855,12.153778850809,12.5523431505243
Michigan,1994,1601845,11762546,658039,3489815,7614692,12023935,5825127,3912910,803226,877390,16.3024098045454,13.3970194790677,15.0653592841776,15.8455900970062,15.5776913597535,15.1797919006725,13.5963913979136,13.6847068703391
Minnesota,1994,802913,5262482,224106,2822949,2215427,5581140,2876527,1388180,490949,565106,15.5349036145661,12.3198744331923,14.8532926411851,14.6109557194061,14.8720942216485,14.1435040946379,13.1040955317281,13.2447686031514
Mississippi,1994,503374,1911579,296345,1048767,566467,1919812,1072529,515600,148515,159184,14.4677378225431,12.5992795951317,13.8631257464057,13.2471741053263,13.8855299690458,13.1530865500472,11.9084412422247,11.9778160448291
Missouri,1994,852324,4488359,294270,2089445,2104644,4575564,2396531,1349465,245316,443146,15.3362405277821,12.5922529922265,14.5524090384371,14.5596568896559,14.6895328330291,14.1152187755722,12.410302454373,13.0016545658367
Montana,1994,163968,878986,83029,446392,349565,878084,508299,271711,36336,50333,13.6854975400228,11.326945223344,13.0089527687417,12.7644448033353,13.1388251360909,12.5124942804249,10.5005642643453,10.8264162045905
